OverallQual,GrLivArea,GarageArea,YearBuilt,FullBath,LotArea,LotFrontage,Fireplaces,SalePrice
5,1314,294,1957,1,8400,70.0,0,145000
6,1571,380,1993,2,7837,59.0,1,178000
5,796,0,1910,1,8777,67.0,0,85000
5,1768,240,1937,1,7200,60.0,2,175000
5,1691,308,1924,2,5000,50.0,1,127000
5,894,552,1972,1,9800,70.0,0,149900
6,1560,400,2005,2,11911,122.0,1,174000
4,1154,240,1922,1,5436,40.0,0,125500
6,1422,576,1981,2,12090,78.0,1,175500
8,1496,474,2007,2,9158,76.0,0,225000
6,913,240,1966,1,8400,70.0,0,129000
5,1086,484,1966,1,13400,85.0,1,159950
7,1601,478,1978,2,11880,82.0,1,157000
7,1986,486,1965,2,13600,85.0,3,205000
7,1164,528,1969,1,9600,80.0,0,140000
6,2267,390,2002,2,8068,70.0,1,200000
6,2259,450,1953,2,21000,70.0,2,217000
5,825,720,1955,1,8235,49.0,0,125000
6,1426,440,1977,1,7950,75.0,0,159500
6,1651,616,1986,2,12416,47.0,1,184000
5,789,200,1926,1,10594,55.0,0,96500
5,2634,968,1969,2,11643,91.0,0,200000
5,1576,225,1928,1,6240,52.0,1,149000
6,1484,393,2005,2,10237,65.0,1,178900
7,1200,555,2003,2,10083,67.0,0,184900
7,1250,528,2006,2,4251,35.0,0,164700
7,1902,567,1959,2,17500,100.0,2,335000
3,1040,400,1949,2,8544,70.0,0,87500
7,1502,644,2009,2,9541,79.0,0,233170
5,1228,271,1966,1,8544,70.0,0,149350
5,1268,288,1949,1,12144,60.0,1,133000
5,864,0,1925,1,5604,67.0,0,98000
6,1686,612,1980,2,10240,79.0,1,207500
4,1620,490,1976,2,9991,70.0,1,150000
5,858,576,1982,1,7252,70.0,0,134900
7,1301,572,2006,2,7200,60.0,1,187750
6,1505,505,1953,1,12160,128.0,1,149500
4,864,280,1970,1,9353,71.0,0,116050
5,1224,528,1979,0,7018,64.0,2,153337
5,1383,354,1954,1,13284,70.0,1,165000
5,816,264,1982,1,6600,60.0,1,130500
7,1344,784,1997,2,7060,78.0,0,206300
7,1392,540,2007,2,3604,34.0,0,146000
5,1065,461,1960,1,8892,80.0,0,126500
5,1250,552,1910,2,5362,53.0,1,139000
4,1452,0,1920,2,4456,33.0,0,113000
6,1096,0,1924,1,9600,60.0,0,79000
7,1428,480,2007,2,11639,95.0,0,182000
6,1658,431,1995,2,8000,70.0,1,188000
5,864,720,1950,1,7200,60.0,0,129000
5,1928,0,1916,2,7082,70.0,0,160000
6,1537,462,1962,1,8400,80.0,1,174000
7,1863,660,2006,2,14054,58.0,1,219210
10,2007,812,2008,2,11003,85.0,1,310000
9,1792,874,2003,2,11846,72.0,1,374000
5,968,480,1923,1,8520,60.0,0,100000
6,2654,619,1968,2,11029,70.0,1,250000
4,960,364,1965,0,10246,70.0,0,145000
10,2775,880,1893,3,13500,75.0,1,325000
9,2643,694,2006,2,13693,105.0,1,380000
8,1646,482,2004,2,3842,44.0,1,275000
6,1298,403,1985,2,11200,70.0,1,180000
8,1694,776,2008,2,10475,64.0,0,245350
6,958,301,1960,1,12772,70.0,0,151500
5,999,300,1962,1,10205,69.0,0,134500
5,1020,0,1875,1,6342,54.0,0,94000
7,1674,663,2000,2,7500,70.0,0,216000
8,2113,839,1995,2,10437,91.0,1,350000
6,2030,551,1976,2,12046,70.0,1,195000
6,1217,288,1980,1,10762,75.0,1,120000
8,2169,647,2002,2,9375,70.0,1,228500
5,1144,336,1963,1,9204,71.0,0,124000
7,1504,437,2005,2,3182,43.0,1,191000
6,1309,484,1974,1,10140,78.0,1,181000
6,1258,280,1939,1,9060,60.0,0,105000
5,1422,286,1960,1,12342,70.0,1,139900
6,1442,301,1958,1,9750,75.0,0,157900
5,1200,240,1946,1,11767,70.0,0,130500
6,1664,460,2000,2,8121,70.0,1,172400
5,1360,572,1955,1,7134,60.0,1,130000
8,1414,403,2004,2,9056,74.0,1,178000
6,1342,457,1967,2,9790,70.0,1,161500
5,1118,410,1939,1,7800,65.0,1,119900
6,2345,360,1932,2,16560,80.0,1,239000
6,1844,546,1977,2,11751,105.0,1,190000
6,987,264,1971,1,1680,21.0,0,85400
6,1610,480,1977,2,10603,70.0,2,205000
6,1080,484,1983,1,9187,71.0,0,134000
6,1511,413,1997,2,11207,70.0,1,185000
5,1152,484,1964,1,14112,70.0,1,180500
5,1558,282,1950,1,13710,75.0,0,152000
8,1911,471,1993,2,9554,80.0,1,215000
5,1306,756,1957,1,8712,64.0,0,153000
5,2138,360,1898,2,8100,90.0,0,106000
8,2466,610,2004,3,11143,102.0,1,340000
6,1734,440,1962,1,9786,77.0,1,159000
6,1158,208,1929,1,6000,50.0,1,120000
5,1771,336,1960,1,21750,100.0,1,115000
6,958,440,1976,2,4928,70.0,1,128000
9,1828,774,2007,2,11694,90.0,1,314813
5,1716,281,1949,1,11409,60.0,1,131000
9,2713,858,2008,2,14948,67.0,1,446261
6,1367,560,1931,1,6240,52.0,1,127500
7,1826,164,1915,1,2500,50.0,1,155000
6,1200,521,1995,2,11249,105.0,0,177500
5,1382,660,1941,1,12358,70.0,0,128500
6,1456,400,2005,2,8029,51.0,0,176000
5,1964,0,1911,1,8525,55.0,0,130000
